6,357897
6,357897
7,504524
7,504524
7,915048
7,915048
8,022019
8,022019
8,022019
8,022019
8,022019
7,975851
8,604046
8,604046
8,752085
8,625306
8,147653
8,147653
8,423611
8,525749
7,60101
7,60101
7,60101
7,60101
7,983076
7,983076
7,426699
6,608934
6,608934
6,803679
6,889483
6,889483
6,889483
6,889483
6,889483
6,889483
6,627689
6,442799
6,081306
6,081306
6,081306
6,392823
6,392823
6,392823
6,392823
6,392823
5,76015
5,76015
5,76015
5,76015
5,669184
5,669184
5,669184
5,669184
5,669184
5,669184
5,925049
5,776845
6,144487
6,144487
6,144487
5,776845
5,776845
5,776845
5,776845
5,776845
5,887386
5,90654
5,90654
5,574329
5,486816
5,379993
5,379993
5,379993
5,379993
5,379993
5,379993
5,379993
5,379993
6,013068
5,579465
5,844178
5,844178
5,844178
5,844178
5,922349
5,922349
5,922349
